,,,0p8_B,0p8_B,0p8_B,0p8_K,0p8_K,0p8_K,0p8_M,0p8_M,0p8_M,0p8_MK,0p8_MK,0p8_MK,2p5_B,2p5_B,2p5_B,2p5_K,2p5_K,2p5_K,2p5_M,2p5_M,2p5_M,2p5_MK,2p5_MK,2p5_MK,8p0_B,8p0_B,8p0_B,8p0_K,8p0_K,8p0_K,8p0_M,8p0_M,8p0_M,8p0_MK,8p0_MK,8p0_MK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,m/z,Retention time (min),0p8_B1,0p8_B2,0p8_B3,0p8_K1,0p8_K2,0p8_K3,0p8_M1,0p8_M2,0p8_M3,0p8_MK1,0p8_MK2,0p8_MK3,2p5_B1,2p5_B2,2p5_B3,2p5_K1,2p5_K2,2p5_K3,2p5_M1,2p5_M2,2p5_M3,2p5_MK1,2p5_MK2,2p5_MK3,8p0_B1,8p0_B2,8p0_B3,8p0_K1,8p0_K2,8p0_K3,8p0_M1,8p0_M2,8p0_M3,8p0_MK1,8p0_MK2,8p0_MK3
0.843_396.03461,396.03461,0.843,0.0,0.0,350.6666666666667,410027.3333333333,432060.3333333333,425519.0,17895.0,0.0,0.0,418070.6666666667,354727.6666666667,394989.0,6501.333333333333,0.0,2818.3333333333335,518823.0,508277.3333333333,507946.6666666667,0.0,0.0,0.0,367855.6666666667,363309.0,261823.33333333334,3113.3333333333335,0.0,0.0,17673.666666666668,9773.0,14093.0,0.0,0.0,0.0,4500.0,6677.0,5810.333333333333
0.844_427.07611,427.07611,0.844,0.0,0.0,0.0,274719.6666666667,278477.6666666667,285653.0,8493.0,0.0,0.0,360080.3333333333,283580.0,356395.0,4073.0,0.0,0.0,504936.0,492543.0,485061.6666666667,0.0,0.0,0.0,396508.0,382550.6666666667,353066.3333333333,0.0,2324.3333333333335,0.0,25044.0,9368.666666666666,7034.666666666667,0.0,0.0,0.0,5897.666666666667,38511.666666666664,21391.0
0.848_442.04019,442.04019,0.848,0.0,0.0,334.3333333333333,126190.66666666667,124991.66666666667,115629.0,3783.0,0.0,0.0,111540.66666666667,106107.0,117704.0,0.0,0.0,0.0,173571.66666666666,149342.66666666666,189733.33333333334,0.0,0.0,0.0,120638.0,122252.66666666667,93917.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.852_520.18774,520.18774,0.852,0.0,0.0,0.0,476042.3333333333,852166.0,679249.6666666666,95532.66666666667,0.0,0.0,885222.0,787907.0,821718.0,0.0,0.0,0.0,426335.3333333333,466392.0,472902.0,0.0,0.0,0.0,615216.6666666666,557551.3333333334,508081.6666666667,0.0,0.0,0.0,33926.0,37657.666666666664,50479.333333333336,0.0,0.0,0.0,100554.0,83991.33333333333,71671.33333333333
0.853_558.08746,558.08746,0.853,207.33333333333334,0.0,0.0,810967.6666666666,826801.6666666666,795357.6666666666,149638.33333333334,0.0,0.0,750015.3333333334,691925.6666666666,738446.0,0.0,2605.6666666666665,0.0,584151.3333333334,686938.6666666666,632885.3333333334,0.0,0.0,0.0,541737.0,519503.3333333333,508560.3333333333,0.0,0.0,0.0,12745.666666666666,61448.0,55361.0,0.0,0.0,0.0,1944.0,10674.0,13575.666666666666
0.855_453.12164,453.12164,0.855,0.0,0.0,0.0,1535022.0,1307453.0,1663175.6666666667,0.0,0.0,0.0,1256715.6666666667,1619730.6666666667,1609495.3333333333,0.0,0.0,0.0,1675195.3333333333,1593810.6666666667,1284746.6666666667,0.0,0.0,0.0,2334802.6666666665,1794529.0,1973399.0,0.0,0.0,0.0,5022.333333333333,0.0,6480.0,0.0,0.0,0.0,0.0,0.0,0.0
0.856_448.16641,448.16641,0.856,0.0,0.0,0.0,709883.6666666666,574936.6666666666,805560.3333333334,0.0,0.0,0.0,569799.0,693954.3333333334,654063.0,0.0,0.0,0.0,646668.3333333334,617895.6666666666,503385.0,0.0,0.0,0.0,886837.6666666666,724097.0,708581.6666666666,0.0,0.0,0.0,0.0,5498.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7900.0
0.857_475.10345,475.10345,0.857,0.0,0.0,0.0,105915.66666666667,101086.66666666667,142394.0,0.0,0.0,0.0,98749.33333333333,126225.0,112137.33333333333,0.0,0.0,3880.3333333333335,153873.66666666666,150882.66666666666,113419.33333333333,0.0,0.0,0.0,256689.0,175783.66666666666,203931.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.857_589.12885,589.12885,0.857,0.0,0.0,0.0,224205.33333333334,240278.33333333334,233656.33333333334,7271.0,0.0,0.0,242426.0,226619.0,260242.0,0.0,0.0,0.0,213879.66666666666,236026.66666666666,212575.66666666666,0.0,0.0,0.0,208465.0,207286.0,167369.33333333334,0.0,0.0,0.0,0.0,9425.0,18417.333333333332,0.0,0.0,0.0,0.0,4166.666666666667,0.0
0.858_522.20288,522.20288,0.858,153.33333333333334,9041.333333333334,0.0,1708338.3333333333,1867706.3333333333,1867413.0,285274.6666666667,0.0,0.0,1750837.3333333333,1709632.6666666667,1938296.0,0.0,0.0,3662.0,1622560.3333333333,1676245.3333333333,1680965.0,0.0,0.0,0.0,1527354.0,1442492.0,1328883.3333333333,0.0,0.0,2139.3333333333335,61654.666666666664,182238.0,223924.33333333334,0.0,0.0,0.0,28448.666666666668,102260.33333333333,116292.0
0.864_646.03577,646.03577,0.864,0.0,0.0,0.0,218975.0,274669.6666666667,270074.0,284291.0,0.0,0.0,306478.0,271436.0,311933.3333333333,0.0,0.0,0.0,92686.66666666667,119114.0,96251.0,1495.3333333333333,4131.333333333333,0.0,159371.66666666666,169093.0,146322.0,0.0,0.0,0.0,274635.0,211937.66666666666,180474.0,0.0,0.0,0.0,145036.66666666666,123139.66666666667,135653.33333333334
0.864_652.052,652.052,0.864,0.0,0.0,0.0,127271.66666666667,154961.33333333334,180476.0,143020.0,2235.0,0.0,168451.33333333334,181661.33333333334,189040.0,0.0,0.0,0.0,52699.0,86668.66666666667,67376.0,0.0,0.0,0.0,127873.33333333333,106320.66666666667,112459.33333333333,0.0,0.0,0.0,306646.6666666667,202850.66666666666,229380.66666666666,0.0,0.0,0.0,155031.66666666666,177740.66666666666,138979.0
0.86_426.99109,426.99109,0.86,0.0,0.0,0.0,269054.3333333333,338410.3333333333,343304.0,242615.66666666666,27207.0,34246.0,402879.3333333333,322178.0,352809.6666666667,0.0,0.0,0.0,220304.33333333334,222393.0,193258.66666666666,6955.0,7543.333333333333,4112.0,290352.6666666667,283198.0,247456.0,0.0,0.0,0.0,327129.6666666667,218353.66666666666,233982.66666666666,0.0,0.0,0.0,160707.33333333334,196075.66666666666,168600.33333333334
0.86_661.00037,661.00037,0.86,3239.0,0.0,0.0,311017.3333333333,367856.3333333333,381008.0,390429.3333333333,1921.0,0.0,339910.3333333333,377204.6666666667,358884.3333333333,0.0,0.0,0.0,112112.0,148716.66666666666,122300.33333333333,2721.3333333333335,3465.3333333333335,2665.3333333333335,172027.66666666666,177629.0,161528.66666666666,0.0,0.0,0.0,292390.6666666667,217187.33333333334,171155.33333333334,0.0,0.0,0.0,142760.0,128184.66666666667,125654.33333333333
0.874_214.1299,214.1299,0.874,0.0,13836.666666666666,14681.333333333334,130377.33333333333,173169.0,195228.0,15153.0,14023.666666666666,17398.0,91285.66666666667,142500.66666666666,123360.66666666667,40926.666666666664,37514.0,11161.0,212524.66666666666,221244.66666666666,201741.33333333334,81257.33333333333,56888.0,38188.666666666664,171452.66666666666,120234.0,156519.66666666666,9001.333333333334,20698.0,19632.0,172024.66666666666,139213.0,169315.0,42995.666666666664,53803.0,44317.0,101368.0,104853.33333333333,85882.0
0.879_306.04846,306.04846,0.879,414768.0,368332.3333333333,287467.6666666667,0.0,0.0,2779.3333333333335,12525.666666666666,61512.666666666664,88322.66666666667,8512.666666666666,7251.666666666667,9083.333333333334,595903.3333333334,578469.6666666666,544965.6666666666,4893.0,9287.333333333334,7947.0,164086.33333333334,135855.0,112825.0,18001.333333333332,4611.666666666667,7691.0,248217.66666666666,355874.0,551921.6666666666,22955.0,61555.666666666664,58535.333333333336,160932.66666666666,166798.0,148479.0,104074.33333333333,195578.0,125628.0
0.87_527.1579,527.1579,0.87,32557.666666666668,51184.666666666664,53971.666666666664,2652913.3333333335,2914143.3333333335,2986073.0,445792.0,4569.333333333333,0.0,2828685.6666666665,2848088.6666666665,3111172.6666666665,106002.33333333333,99595.0,102640.66666666667,2920814.6666666665,3285207.3333333335,2990706.0,20179.666666666668,15321.666666666666,12233.333333333334,3038973.0,2721407.6666666665,2757158.0,25229.0,15974.333333333334,104197.33333333333,169151.33333333334,362081.3333333333,508583.3333333333,17249.333333333332,20463.333333333332,17731.0,116733.66666666667,242332.0,227332.0
0.889_295.09583,295.09583,0.889,0.0,0.0,0.0,108405.0,169592.33333333334,168140.0,3689626.3333333335,0.0,0.0,225974.66666666666,178217.0,134083.66666666666,6432.666666666667,3598.6666666666665,6109.666666666667,1859.0,33307.666666666664,31604.666666666668,0.0,0.0,0.0,45445.0,47504.333333333336,57720.333333333336,0.0,0.0,0.0,316591.3333333333,380437.3333333333,459530.0,0.0,2941.0,0.0,361944.0,457873.6666666667,566979.0
0.892_336.04807,336.04807,0.892,0.0,0.0,0.0,135921.66666666666,98818.0,83891.0,0.0,4044.6666666666665,0.0,78830.66666666667,68112.66666666667,85677.33333333333,0.0,0.0,0.0,104562.0,120174.0,95409.0,0.0,0.0,0.0,162709.66666666666,238337.0,256784.33333333334,0.0,0.0,0.0,8834.666666666666,0.0,0.0,0.0,0.0,0.0,1776.6666666666667,0.0,5668.0
0.905_324.05899,324.05899,0.905,2535655.3333333335,1440696.3333333333,1354611.3333333333,253830.66666666666,199061.33333333334,183963.33333333334,1477998.6666666667,1444061.6666666667,1415321.6666666667,171559.0,190053.66666666666,177450.0,3201679.3333333335,1819503.0,2456653.0,453496.6666666667,306828.0,301886.3333333333,1208873.0,1418501.0,1121881.0,539792.3333333334,472623.0,432731.6666666667,1046924.6666666666,1016981.3333333334,1764139.0,149413.33333333334,258017.66666666666,396903.6666666667,973145.6666666666,561208.0,1043473.0,646996.3333333334,934880.0,1058173.3333333333
0.907_668.08557,668.08557,0.907,0.0,0.0,0.0,54302.0,42628.333333333336,86118.33333333333,0.0,0.0,0.0,21457.666666666668,77175.33333333333,44178.333333333336,0.0,0.0,0.0,50019.0,77585.33333333333,49656.0,0.0,0.0,0.0,137979.66666666666,87790.66666666667,76609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.909_637.15613,637.15613,0.909,5606.0,541.6666666666666,0.0,233743.66666666666,189444.66666666666,270858.3333333333,0.0,0.0,0.0,139846.0,233799.0,246881.0,0.0,0.0,0.0,294257.3333333333,312626.0,250602.66666666666,0.0,0.0,0.0,474478.0,364883.0,399705.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2916.0,0.0,0.0
0.911_646.10419,646.10419,0.911,226.33333333333334,4213.0,0.0,835417.3333333334,657951.6666666666,928237.3333333334,2395.0,0.0,0.0,535900.0,827358.3333333334,751394.6666666666,0.0,0.0,0.0,727991.0,844539.0,681192.3333333334,0.0,0.0,0.0,1073358.3333333333,906106.6666666666,822074.6666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.912_615.17462,615.17462,0.912,0.0,0.0,0.0,3117628.6666666665,2432383.0,3629178.0,30610.333333333332,0.0,0.0,2200135.6666666665,3468167.0,3131664.6666666665,0.0,0.0,0.0,3240538.3333333335,3934943.0,2958268.6666666665,0.0,0.0,0.0,5341489.0,4247313.333333333,4349779.0,0.0,0.0,0.0,7736.333333333333,0.0,3006.0,0.0,0.0,0.0,2928.3333333333335,0.0,2639.0
0.912_677.14435,677.14435,0.912,0.0,0.0,0.0,122947.0,79209.33333333333,115681.33333333333,60006.666666666664,0.0,0.0,78352.0,122198.66666666667,114956.33333333333,0.0,0.0,0.0,104963.33333333333,138838.33333333334,92341.33333333333,0.0,0.0,0.0,223842.33333333334,168556.66666666666,182811.33333333334,0.0,0.0,0.0,104685.33333333333,51649.333333333336,127199.0,0.0,0.0,0.0,94371.0,101365.66666666667,84417.66666666667
0.913_640.98657,640.98657,0.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31753.333333333332,41905.666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52216.333333333336,65218.333333333336,55765.333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.915_352.09598,352.09598,0.915,16981.333333333332,3497.6666666666665,0.0,0.0,0.0,0.0,115653.33333333333,3933551.3333333335,3623089.3333333335,0.0,0.0,0.0,0.0,0.0,0.0,35757.333333333336,97895.66666666667,42037.666666666664,1998690.6666666667,1993482.0,2013601.3333333333,8481.0,0.0,9180.0,0.0,0.0,0.0,41096.666666666664,59431.666666666664,103795.0,2070996.6666666667,1932816.0,2572187.3333333335,95589.66666666667,110460.66666666667,156800.33333333334
0.915_720.13977,720.13977,0.915,330.0,0.0,0.0,785640.6666666666,722443.0,766008.6666666666,254633.0,0.0,0.0,670290.0,789854.6666666666,802596.0,0.0,0.0,0.0,685817.6666666666,821317.6666666666,693934.6666666666,0.0,0.0,0.0,606471.0,639275.0,656592.3333333334,0.0,0.0,0.0,5058.0,27342.333333333332,76373.0,0.0,0.0,0.0,0.0,2669.0,11658.0
0.915_777.22675,777.22675,0.915,0.0,0.0,0.0,76728.33333333333,25330.666666666668,109808.66666666667,0.0,0.0,0.0,83288.33333333333,120254.33333333333,87202.33333333333,0.0,0.0,0.0,44335.666666666664,92869.0,65629.66666666667,0.0,0.0,0.0,90957.33333333333,92548.66666666667,125817.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.915_809.15765,809.15765,0.915,0.0,0.0,0.0,159717.33333333334,137925.0,154301.0,137821.66666666666,0.0,8980.333333333334,134610.33333333334,183426.0,140077.0,0.0,0.0,0.0,88532.33333333333,174896.0,84180.33333333333,0.0,0.0,3241.0,139210.33333333334,186538.0,206287.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,3459.6666666666665,0.0,0.0,5620.333333333333,0.0,4964.333333333333
0.916_201.6449,201.6449,0.916,141348.33333333334,93703.0,68032.66666666667,2343926.3333333335,2294653.6666666665,2893982.6666666665,892919.3333333334,25005.666666666668,16613.666666666668,2815361.6666666665,2966962.3333333335,3269488.3333333335,235106.0,182871.0,215182.66666666666,4189063.3333333335,3416388.6666666665,3038120.0,32650.333333333332,13638.666666666666,13701.0,3765824.6666666665,3428540.3333333335,3848317.6666666665,61268.333333333336,88326.66666666667,202902.0,2157361.3333333335,1517902.6666666667,1918546.3333333333,20477.666666666668,27577.333333333332,37928.0,1700223.6666666667,2184853.3333333335,1889231.0
0.916_372.2243,372.2243,0.916,94692.33333333333,57428.666666666664,16431.333333333332,167472.66666666666,172831.66666666666,144975.66666666666,17931.666666666668,36165.333333333336,82766.66666666667,221009.66666666666,198195.0,235927.0,281690.3333333333,235836.0,198836.33333333334,117836.66666666667,64064.333333333336,103926.0,12311.666666666666,11972.0,0.0,67255.33333333333,102641.33333333333,106058.33333333333,65005.666666666664,118487.66666666667,299519.6666666667,92113.0,89923.0,219645.0,41536.333333333336,47882.333333333336,25395.333333333332,66172.66666666667,173676.33333333334,100926.66666666667
