Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,p,qval,-logq
6.098_261.06924,261.06924,6.098,0.0692399999999793,True,True,0.5959833547976715,0.1481962137951835,True,True, 0p8_M 2p5_M 8p0_M,1.035799522673031,478251.6666666667,5.679656492181561,0.0050962722238003,0.9883339814490005,0.9883339814490005,0.005096272223800309
0.919_571.11194,571.11194,0.919,0.1119400000000041,True,True,0.0863101611444803,0.0821116742705999,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,1.0022839647793165,311977.0,5.494122577539988,0.0059354062885725,0.986426188371071,0.9878557915426233,0.005306449651629397
3.114_527.2821,527.2821,3.114,0.282100000000014,True,True,0.4352902723810619,0.192626118576131,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_K 8p0_M 8p0_MK,1.011491310194052,386586.0,5.587246122240803,0.0105953223752214,0.97589856101511,0.9787313579991886,0.0093364969086488
7.368_500.30322,500.30322,7.368,0.3032200000000102,True,True,0.4781684088015367,0.0953812117959699,True,True, 0p8_K 0p8_M 2p5_K 2p5_M 8p0_K 8p0_M,0.933758658403208,4014771.8888888895,6.603660874593238,0.016051658345091,0.9637143851624879,0.9679166281210453,0.01416204920640389
9.458_901.62378,901.62378,9.458,0.6237800000000107,True,True,0.0922721452578932,0.0769789797108058,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.9920093240876988,146610433.2222222,8.16616487705554,0.0174203468892552,0.9606819990566815,0.9662754895897626,0.014899036574607248
6.449_293.22635,293.22635,6.449,0.2263500000000249,True,True,0.2239031583806647,0.1506978099039624,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_K 8p0_M 8p0_MK,1.011348939511441,476564.2222222223,5.678121434832289,0.0191441121483401,0.9568764978156131,0.9638508163128116,0.01599018048089334
9.07_879.72675,879.72675,9.07,0.7267500000000382,True,True,0.3517194195346163,0.132431597949376,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.97023422628246,2145522.0,6.33153297211018,0.027066589220103,0.9395792363294073,0.9478091274505408,0.023279113338330167
9.482_575.46509,575.46509,9.482,0.465090000000032,True,True,0.5265601630275956,0.1928755777789412,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,1.0662494297206186,56424129.22222222,7.751464865456455,0.0357540894437451,0.9209709054801998,0.9303960463257573,0.03133214378966293
6.369_613.24561,613.24561,6.369,0.245610000000056,True,True,0.087785115642179,0.0743320212048178,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_K 8p0_M 8p0_MK,0.9803546083049064,1475313.777777778,6.168884398256469,0.0596288301981658,0.8717082772122859,0.8819186230654312,0.05457148650549999
6.844_371.32648,371.32648,6.844,0.3264800000000036,True,True,0.0488587989831661,0.0489872738338355,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.9885458729718668,1807808.222222222,6.257152357307371,0.0668633616799687,0.8573075300638895,0.8686209725427384,0.06116968896224924
10.357_896.63055,896.63055,10.357,0.6305499999999711,True,True,0.2675785343642928,0.1056238820429875,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,1.0285132184285497,60860019.77777777,7.7843320891555425,0.0778017273400026,0.8359845912534772,0.848260429597875,0.07147079187858929
6.368_573.21619,573.21619,6.368,0.2161899999999832,True,True,0.1190892401285215,0.099048471306908,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_K 8p0_M 8p0_MK,1.0233194694164691,1596959.5555555553,6.2032939173773896,0.0778683664215103,0.8358563258165855,0.848260429597875,0.07147079187858929
6.365_615.23987,615.23987,6.365,0.2398699999999962,True,True,0.1747991325228015,0.1289966592646289,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_K 8p0_M 8p0_MK,1.0623564397210443,637423.1111111111,5.804427805680022,0.090001654868336,0.812827418899508,0.8271925573778499,0.08239338177463926
7.811_412.24878,412.24878,7.811,0.2487800000000106,True,True,0.1626200479253801,0.1044183989360592,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,1.0404713760740725,497100.0,5.696443763139,0.1097325673768785,0.7767252662278287,0.7916182285596307,0.10148421386974343
3.14_1090.52673,1090.52673,3.14,0.5267300000000432,True,True,0.181160314771967,0.1344609696250916,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.8933387700859468,499301.2222222222,5.6983626291508775,0.1133485405774886,0.7702850330445221,0.7862141179228431,0.1044591618884345
10.458_913.58466,913.58466,10.458,0.5846599999999853,True,True,0.3496206988915842,0.1939126548655957,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.8812051119237805,2827222.5555555555,6.451359996973894,0.1214976336066354,0.7559661794529137,0.7727405769259813,0.11196628217407294
6.988_472.30359,472.30359,6.988,0.3035899999999856,True,True,0.2622074671020785,0.1717579556063489,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_K 8p0_M 8p0_MK,0.9397056618264326,432428.8888888889,5.635914699772344,0.1262505813396061,0.7477379425519471,0.7654621011902155,0.11607630679643259
2.54_531.24115,531.24115,2.54,0.2411499999999478,True,True,0.4096825288726,0.1966319212974659,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_K 8p0_M 8p0_MK,0.5807886101597661,86581.88888888889,4.937427056241206,0.1426374614096149,0.7200498074546614,0.7382113011144971,0.13181931057073631
0.92_283.57001,283.57001,0.92,0.5700100000000248,True,True,0.1136496052310848,0.108820787400453,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.9406434318470732,626258.1111111111,5.796753363766297,0.150402253744368,0.7072903719553878,0.7262074992885185,0.13893927059414649
7.457_579.27643,579.27643,7.457,0.2764300000000048,True,True,0.3243228423120624,0.1531377262341041,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_M 8p0_MK,0.8858172062846511,211162.5555555556,5.32461690932892,0.1521578519689449,0.7044369824176622,0.7243540994800662,0.14004907764857177
3.694_457.11179,457.11179,3.694,0.1117899999999849,True,True,0.182167392061148,0.1422591659375731,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_K 8p0_M 8p0_MK,1.1154204854386889,221445.88888888888,5.345267622080958,0.1653410507075132,0.6833747834712176,0.703743629476321,0.15258552350230686
10.818_631.45233,631.45233,10.818,0.4523299999999608,True,True,0.387022820524204,0.1628519670054746,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.8368691077603099,10352895.222222222,7.015061818701483,0.1693078403523294,0.6771613461214712,0.6983858062237859,0.15590459567895745
7.264_482.29349,482.29349,7.264,0.2934900000000198,True,True,0.2951091338791643,0.117972383104718,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_K 8p0_M 8p0_MK,1.0736616184516794,2468594.111111111,6.392449688637642,0.1762717893568754,0.6663896000034999,0.6883037572532413,0.16221985975050007
3.152_695.34222,695.34222,3.152,0.3422199999999975,True,True,0.5285901005443862,0.1474087991935702,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,1.2510494907319718,447237.8888888889,5.650538588792364,0.1839495938163457,0.6547121585146898,0.677254643014447,0.169248008917693
7.038_464.28339,464.28339,7.038,0.2833899999999971,True,True,0.2483795810370515,0.0494212998979229,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_K 8p0_M 8p0_MK,0.9635757048632227,3196668.777777778,6.50469763926339,0.1943688563017633,0.6391917246298863,0.6621911270153694,0.17901664284411387
6.689_357.31079,357.31079,6.689,0.3107899999999972,True,True,0.1472435713650131,0.1291428258913607,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,1.0660792874500158,384743.3333333333,5.585171103301099,0.1956481005187536,0.6373117117281644,0.6612348240302726,0.1796442823148563
0.912_677.14435,677.14435,0.912,0.1443500000000313,True,True,0.1579049245734524,0.1487459447344195,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.8879496598596335,191736.7777777777,5.2827054245837735,0.2207306921468356,0.6015466434800981,0.6250657603680418,0.20407429007574174
10.359_901.5863,901.5863,10.359,0.5863000000000511,True,True,0.2776336246182328,0.1143010189611237,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,1.1041689967124806,43056041.22222222,7.634034096217131,0.2233848481882434,0.5978815500809649,0.6221929986535343,0.20607488018206246
0.916_514.14923,514.14923,0.916,0.1492299999999886,True,True,0.4324820773353909,0.1243219051181102,True,True, 0p8_M 2p5_M 8p0_M,0.01,240804.0,5.3816636967199205,0.2264036850510602,0.5937400093115586,0.6197497680276238,0.20778362711656173
3.122_292.11108,292.11108,3.122,0.1110800000000153,True,True,0.4625916558461863,0.1003956341272366,True,True, 0p8_M 2p5_M 8p0_M,0.01,228639.0,5.359150311974223,0.2264036850510602,0.5937400093115586,0.6197497680276238,0.20778362711656173
8.258_441.40524,441.40524,8.258,0.405239999999992,True,True,0.3234948534863958,0.072901625747376,True,True, 2p5_M 8p0_M,100.0,867184.5555555555,5.9381115345348015,0.2264036850510602,0.5937400093115586,0.6188150021633289,0.20843916608163487
7.31_619.39429,619.39429,7.31,0.3942899999999554,True,True,0.4955778843898845,0.1891353723407577,True,True, 0p8_K 0p8_MK 2p5_K,0.01,206978.3333333333,5.315924885523267,0.2264036850510603,0.5937400093115585,0.6188150021633289,0.20843916608163487
7.63_292.09622,292.09622,7.63,0.0962200000000166,True,True,0.6963363069089027,0.1627666391522136,True,True, 0p8_K 2p5_K 2p5_MK,0.01,265975.8888888889,5.424842268972743,0.2264036850510603,0.5937400093115585,0.6188150021633289,0.20843916608163487
