,,,average,average,average,average,biolRSD,biolRSD,biolRSD,biolRSD,bioln,bioln,bioln,bioln,techRSD,techRSD,techRSD,techRSD,techn,techn,techn,techn,combRSD,combRSD,combRSD,combRSD,combASD,combASD,combASD,combASD,neff,neff,neff,neff
Group,,,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media
Compound,m/z,Retention time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03_102.1549m/z,102.154947,0.034316667,0.0,0.0,10.541356403333332,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0.0,0.0,1.732050807568877,0.0,3.0,3.0,3.0,3.0,0.0,0.0,1.732050807568877,0.0,0.0,0.0,18.25816487126485,0.0,0.0,0.0,3.0,0.0
0.04_113.9641m/z,113.9641158,0.041466667,181.56876914444445,170.8757725,62.42998880266666,184.9597056111111,0.0200488248791982,0.0184644921855644,0.0,0.1211307340675602,3,3,1,3,0.1684266425044709,0.1417034402636277,1.0334279167507716,0.1940288356019768,3.0,3.0,3.0,3.0,0.16961571060596245,0.142901373171213,1.0334279167507716,0.22873531380354223,30.796915802284893,24.418382531941795,64.5168932711138,42.30681630396829,3.0566668492861906,3.0678967138098496,3.0,4.353387247658382
0.06_182.9860m/z,182.9860099,0.055733333,5245.060051666666,5054.720022222223,2324.4900546666668,5148.918297333334,0.0094357440653053,0.0079795077078107,0.0,0.0067505089915791,3,3,1,3,0.1077401080431,0.1309058886133365,0.4330532474154173,0.1031057093169303,3.0,3.0,3.0,3.0,0.10815250411897454,0.13114886281209712,0.4330532474154173,0.10332645675427335,567.2663788421479,662.9207827479828,1006.6279667582409,532.0194837806995,3.030678345522643,3.014862361702427,3.0,3.017145873805132
0.06_235.9635m/z,235.9635336,0.055733333,21.983753929999995,22.442474284444444,4.73517861,22.413890055555555,0.0507700416298921,0.041656398085119,0.0,0.066950657934969,3,3,1,3,0.187662667526993,0.1757124535464031,1.7320508075688774,0.0460623472909535,3.0,3.0,3.0,3.0,0.19440903762543474,0.18058272850060378,1.7320508075688774,0.08126580114585495,4.273840444925668,4.052723240589613,8.201569935433374,1.8214827321598335,3.2912050956344556,3.2241035133136937,3.0,4.546819433984412
0.09_68.9936m/z,68.99355728,0.09145,13.268916760444446,13.381667192333332,0.0,13.087275001111111,0.0805786161301089,0.0702953926619336,0.0,0.0192936321250261,3,3,1,3,0.2296425847535787,0.2780718535575991,0.0,0.1352399506526401,3.0,3.0,3.0,3.0,0.2433693286134225,0.286819451869036,0.0,0.13660925478570027,3.229247363416754,3.838122449198908,0.0,1.7878428850773136,3.48513286171279,3.254583134623253,0.0,3.0813763324684578
0.10_102.1549m/z,102.1548648,0.098583333,0.0,0.0,6.38457505,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0.0,0.0,1.7320508075688772,0.0,3.0,3.0,3.0,3.0,0.0,0.0,1.7320508075688772,0.0,0.0,0.0,11.058408371336604,0.0,0.0,0.0,3.0,0.0
0.13_102.1552m/z,102.1551919,0.1343,0.0,0.0,6.8743679533333335,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0.0,0.0,1.7320508075688774,0.0,3.0,3.0,3.0,3.0,0.0,0.0,1.7320508075688774,0.0,0.0,0.0,11.90675456509661,0.0,0.0,0.0,3.0,0.0
0.17_213.0188m/z,213.0187886,0.17,10.028770334888888,7.963608726888889,0.7249806723333333,14.327383264444444,0.1091169151145718,0.3663022792251934,0.0,0.2638526760921912,3,3,1,3,0.3669631917613223,0.7193060749955523,1.7320508075688772,0.4122147467932664,3.0,3.0,3.0,3.0,0.3828426377400742,0.8072041806699707,1.7320508075688772,0.48942745341352434,3.8394408882982693,6.428258257564575,1.2557033589867774,7.012214705196592,3.350927308087067,3.971952189489157,3.0,4.403280499811078
