Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,-logq,logfc
0.80_418.1451n,419.1520828,0.802766667,0.1520828000000165,True,True,0.0100403829409857,0.0094238877335314,True,False, 0um_Ce 250um_Ce Media insource,0.9777254047919044,303816.0431,5.4826107031865465,0.9589173624850188,,-0.03249875524189783
0.81_210.0803m/z,210.0803421,0.809916667,0.0803420999999957,True,True,0.0065016477866525,0.0063405919870366,True,True, 0um_Ce 250um_Ce Media,0.9642684437150052,175857.77106024444,5.245161564316388,2.013988576396053,1.5247286197481151,-0.0524932591132341
4.11_444.1061n,889.218976,4.110983333,0.2189759999999978,True,True,0.0207878850881327,0.0207391994425815,True,False, 0um_Ce 250um_Ce insource,4.0117341404102325,104641.95532444444,5.019705846219896,3.344283330104556,,2.004226001009761
4.11_400.0799n,401.0872034,4.110983333,0.0872034000000212,True,True,0.2578197338504207,0.0123530219415156,True,False, 0um_Ce 250um_Ce insource,2.2491645229197603,81791.21299777778,4.912706649006793,3.290253974643389,,1.169389195895237
0.80_627.2171n,650.2063013,0.802766667,0.20630129999995,True,True,0.0219026851758121,0.0196567342879072,True,True, 0um_Ce 250um_Ce Media,0.99399160973513,44474.24580888889,4.648108592083337,0.0893411303728475,0.0565298391106644,-0.008694420810672968
2.65_752.8361n,753.8434083,2.6526,0.8434082999999646,True,True,0.6246761609227889,0.0970207382776777,True,False, 0um_Ce insource,0.01,23112.88593122223,4.363854175931464,1.3745221637382017,,-6.643856189774724
4.77_240.1117n,241.1189378,4.772383333,0.1189377999999976,True,True,0.0165924696831106,0.0162533888513109,True,True, 0um_Ce 250um_Ce,13.205541711420222,22053.20883,4.34347178998399,3.2800239441089327,2.371634679719019,3.7230715791526614
4.62_401.0873m/z,401.0872589,4.623133333,0.0872588999999948,True,True,0.2613496130966922,0.0223737132057576,True,False, 0um_Ce 250um_Ce insource,1.7983759319347803,21457.119485555555,4.331571419610627,2.2846067340904006,,0.8466946328919576
1.46_132.1024m/z,132.1023553,1.464516667,0.1023552999999992,True,True,0.2747731945695796,0.0690709749532558,True,False, Media insource,0.0149848479725357,23481.641777567664,4.370728458419336,1.945928620057832,,-6.060351742585327
2.00_120.0817m/z,120.0816648,1.998166667,0.0816647999999986,False,True,,,True,True, relfil,,,,,,
2.31_165.0801n,188.071814,2.310966667,0.0718139999999891,True,True,0.1302598649101511,0.0290559558697226,True,False, Media insource,0.1458183255220987,13703.98921888889,4.136847008292326,1.9008383218193168,,-2.777756055068225
2.44_751.8294n,752.8366867,2.439083333,0.8366866999999729,True,True,0.5316480392446457,0.1185911727589007,True,False, 0um_Ce 250um_Ce insource,0.9865535682572112,10698.691558444443,4.029330667059578,0.0099799294697319,,-0.019530705813005592
0.77_342.1171n,365.1062868,0.767066667,0.1062868000000207,True,True,0.0159269795954843,0.0154807525295573,True,False, 0um_Ce 250um_Ce Media insource,0.1669684628992536,9956.343598777778,3.99809987593156,2.700421487159717,,-2.5823524635381205
2.65_763.8268n,764.8341073,2.6526,0.8341073000000279,False,True,,,True,True, relfil,,,,,,
1.30_268.1048m/z,268.1048369,1.300983333,0.1048369000000093,True,True,0.103628707403984,0.1097417801415829,True,True, Media,0.9988687896393688,9324.996398777776,3.969648672760485,0.0026550390118044,0.0007355022652149,-0.0016329153370853616
2.50_795.7742m/z,795.7741774,2.50335,0.774177399999985,True,True,0.1347522252744563,0.1066283556398427,True,True, 0um_Ce 250um_Ce,0.3271867604338694,7190.798855444445,3.8567771406247786,1.435903256785052,1.0900192777322986,-1.6118137238780172
2.66_778.2862n,779.293459,2.65975,0.2934589999999843,True,True,0.5162484136339458,0.0604266855965092,True,False, 0um_Ce 250um_Ce insource,0.6612366503386216,7089.699846222222,3.85062784902104,1.416049215832613,,-0.5967614038379105
3.92_166.0868m/z,166.0868186,3.918633333,0.0868185999999866,True,True,0.5040182464801316,0.0173348878765256,True,True, 0um_Ce 250um_Ce,1.127703861175024,7377.308550222221,3.867897947868927,1.674545651035347,1.2659416260010394,0.17338826090482082
4.12_466.0880n,467.0952481,4.118116667,0.095248099999992,True,True,0.0126024045127034,0.0126907506084802,True,False, 0um_Ce 250um_Ce insource,1.450229082150844,6921.181658555556,3.840180248210979,3.1917288251960114,,0.536280810294419
9.34_564.6443m/z,564.6442923,9.339116667,0.644292299999961,True,False,,,True,True, Blanks,,7218.225024,3.8584304168143992,,,
2.32_205.0978m/z,205.0977518,2.318116667,0.0977517999999975,True,True,0.0524660721273729,0.0520758444827088,True,False, Media insource,0.5896490305063614,7140.116866666667,3.853705320198175,1.617076440912209,,-0.7620716024635809
0.72_203.9632n,226.9524236,0.717083333,0.952423600000003,True,True,0.0092773406976052,0.0097146041547777,True,False, 0um_Ce 250um_Ce Media insource,0.9432991434238044,6026.727158222221,3.780081530548598,1.6952696619252714,,-0.08421273724719924
4.11_1776.4112n,1777.418455,4.110983333,0.4184549999999944,True,True,0.0497515658650836,0.0544624237480813,True,True, 0um_Ce 250um_Ce,16.55025536341851,6456.491456388889,3.809996580678446,3.026483705583023,2.230244420757902,4.048781572263981
0.77_117.0796n,118.0868361,0.7742,0.0868360999999993,True,True,0.0130424611623266,0.0128103775586671,True,True, 0um_Ce 250um_Ce Media,1.1296725180591138,6088.232384525556,3.784491220863536,3.510776039954835,2.530892358183588,0.17590460888299017
4.62_889.2189m/z,889.2189437,4.623133333,0.2189436999999543,True,True,0.0323882113893584,0.0281155468511987,True,False, 0um_Ce 250um_Ce insource,3.28876831053367,5950.330768555556,3.774541108075733,2.160117353048756,,1.7175473757568303
3.61_305.1027m/z,305.1027329,3.605833333,0.1027328999999781,True,True,0.0258594618816571,0.023917948803061,True,False, 0um_Ce 250um_Ce insource,18.41313435376065,5861.353751888889,3.767997933266469,5.191269734312979,,4.202663323516307
4.12_180.0459n,383.0766594,4.118116667,0.0766593999999827,True,True,0.2672366861767526,0.0205291529992769,True,False, 0um_Ce 250um_Ce insource,3.6885599806813127,5849.494959222222,3.767118371058024,3.3715126271995093,,1.883057695904006
2.65_515.5487m/z,515.5486666,2.6526,0.5486666000000469,True,True,0.1473768021687578,0.1077481779392459,True,False, 0um_Ce Media insource,0.01,5075.972282111111,3.70551924191773,1.6507553279073346,,-6.643856189774724
0.80_325.1430m/z,325.1430066,0.795633333,0.1430065999999783,False,True,,,True,True, relfil,,,,,,
2.55_780.2995m/z,780.2995491,2.552633333,0.2995491000000356,True,True,0.2147608297783414,0.0730411690098213,True,False, 0um_Ce 250um_Ce insource,0.0427814124214238,4591.917432333334,3.661994070373279,1.4263895612787538,,-4.546872076141652
2.28_229.1550m/z,229.154979,2.2824,0.1549789999999973,True,True,0.0877913463766921,0.0724075981294181,True,False, Media insource,0.3959191800641126,5294.6290142222215,3.723835535223367,3.2582359741281426,,-1.3367221353417413
3.96_446.1218n,447.1290339,3.961483333,0.1290339000000244,True,True,0.0340617326932414,0.0356870745073854,True,False, 0um_Ce 250um_Ce insource,1.6499541517437215,4709.685053,3.672991865872533,2.0457570990532163,,0.7224259360038403
2.64_245.1868m/z,245.1868425,2.638316667,0.1868425000000115,True,True,0.5006601371084307,0.1187673046938149,True,False, Media insource,100.0,5122.731302555555,3.709501576864477,1.7016855211027109,,6.643856189774724
0.77_504.1699n,527.159099,0.767066667,0.1590989999999692,True,True,0.0178689309223572,0.0166218503419795,True,True, 0um_Ce 250um_Ce Media,0.7602097612484563,5140.257852444444,3.710984905198579,1.9592146182378216,1.4801738267715698,-0.3955305450698446
3.42_401.0872m/z,401.0872196,3.420866667,0.0872196000000258,True,True,0.0195407680995101,0.020694215504069,True,False, 0um_Ce 250um_Ce insource,3.2215835668086203,4570.269341888888,3.659941795310373,3.611291329122684,,1.6877700182753161
2.44_763.8280m/z,763.8280419,2.439083333,0.8280419000000165,False,True,,,True,True, relfil,,,,,,
4.12_908.1932m/z,908.1932188,4.118116667,0.1932187999999541,True,True,0.0210168293018849,0.0184745038711394,True,False, 0um_Ce 250um_Ce insource,3.070916903241576,4500.035427666667,3.653215932881916,3.234339225286996,,1.618669474572578
1.24_182.0821m/z,182.0820985,1.24385,0.0820985000000007,True,True,0.0878157411003029,0.0714319855417973,True,False, 0um_Ce 250um_Ce Media insource,1.0291360217463166,4932.221931666667,3.693042610001899,0.0561833880004436,,0.041433677013058445
1.21_201.5936n,202.6009339,1.20815,0.6009339000000011,True,True,0.0597072486995137,0.0296971930801944,True,False, 0um_Ce 250um_Ce insource,1.094077623000317,4427.205653111111,3.646129696349053,0.6818771372527925,,0.12971509859198715
4.62_422.1242n,445.1134652,4.623133333,0.1134652000000073,True,True,0.2365230489979657,0.0316490957932672,True,False, 0um_Ce 250um_Ce insource,2.139825937169014,4365.603446555556,3.640044283641928,2.3337121684117816,,1.097493446254285
4.11_845.1923m/z,845.1922738,4.110983333,0.1922737999999526,True,True,0.2770252388057713,0.0356267876775251,True,False, 0um_Ce 250um_Ce insource,6.413054341533508,4306.877681888888,3.634162537693634,3.404402780399687,,2.681011632020358
4.10_685.1325n,686.1397815,4.103833333,0.1397815000000264,True,True,0.0273587325150902,0.0248903223402638,True,True, 0um_Ce 250um_Ce,2.4030451145071137,4254.784618777778,3.628877580579528,3.241534389677004,2.348385091843827,1.2648637337215112
4.13_261.0473m/z,261.0473042,4.1324,0.047304199999985,True,True,0.2559112047680526,0.0138918920699268,True,False, 0um_Ce 250um_Ce insource,1.214759991010412,4178.143711444444,3.620983373895586,2.266289915657705,,0.2806712982069168
